"id","name","price","status","url"
99,"正版 Kaplan 2017年 CFA 三级LEVELIII 3级 原版视频+notes+题库","1180.00","3笔","//detail.tmall.com/item.htm?id=539190008962&skuId=4611686557617396866&user_id=2973326982&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
100,"送VIP题库+免费重学233网校2017年期货从业资格全科VIP班视频课程","420.00","6笔","//detail.tmall.com/item.htm?id=543463974889&skuId=4611686561891362793&user_id=2207082029&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
101,"环球网校2017环境影响评价师工程师考试环评视频课件培训课程题库","1664.00","3笔","//detail.tmall.com/item.htm?id=545673979118&skuId=3457524531226&user_id=2519995978&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
102,"送VIP题库+重学233网校2017年证券从业金融市场基础知识VIP通关班","350.00","1笔","//detail.tmall.com/item.htm?id=545226402398&skuId=4611686563653790302&user_id=2207082029&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
103,"高顿网校2017年基金从业资格考试视频课件送押题库软件教程精讲班","639.00","1笔","//detail.tmall.com/item.htm?id=539871375531&skuId=3199988907780&user_id=2895336974&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
104,"医学教育网2017初级药师视频职称题库考试宝典试题正规化培训课件","540.00","13笔","//detail.tmall.com/item.htm?id=545486331913&skuId=3455057478652&user_id=3107653559&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
105,"2017浙江省专业技术人员职称计算机应用能力考试模块题库软件中级","15.00","591笔","//detail.tmall.com/item.htm?id=541457988319&skuId=4611686559885376223&user_id=2945704581&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
106,"2017初级护师中级主管护师视频课件课程护士执业资格考试题库软件","540.00","15笔","//detail.tmall.com/item.htm?id=36389642818&skuId=3117701764655&user_id=1837077133&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
107,"主管护师中级2017内科外科儿科妇产科护理学初级护师/士考试题库","49.00","59笔","//detail.tmall.com/item.htm?id=526028345081&skuId=3268252281011&user_id=2634734841&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
108,"2017年中级会计职称课件视频会计实务财务管理经济法题库真人直播","298.00","31笔","//detail.tmall.com/item.htm?id=539430720422&skuId=3196000258651&user_id=2901481792&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
